"Data","Último","Abertura","Máxima","Mínima","Var%"
"02.01.2026","137,81","137,81","137,81","137,81","-0,36%"
"01.01.2026","138,31","138,31","138,31","138,31","-0,01%"
"31.12.2025","138,32","138,32","138,32","138,32","0,00%"
"30.12.2025","138,32","138,32","138,32","138,32","-0,35%"
"29.12.2025","138,82","138,82","138,82","138,32","0,72%"
"26.12.2025","137,82","137,82","137,82","137,81","0,00%"
"25.12.2025","137,82","137,82","137,82","137,82","0,00%"
"24.12.2025","137,82","137,82","137,82","137,81","0,00%"
"23.12.2025","137,81","137,81","137,82","137,81","-0,23%"
"22.12.2025","138,13","138,13","138,48","138,13","-2,01%"
"19.12.2025","140,96","140,96","140,96","140,15","-0,83%"
"18.12.2025","142,15","142,15","142,29","142,15","1,89%"
"17.12.2025","139,51","139,51","141,48","139,51","3,21%"
"16.12.2025","135,17","135,17","135,83","135,17","-0,12%"
"15.12.2025","135,33","135,33","135,33","134,50","-1,33%"
"12.12.2025","137,15","137,15","137,15","136,00","-2,38%"
"11.12.2025","140,48","140,48","140,48","138,48","-1,27%"
"10.12.2025","142,30","142,30","142,30","140,30","-0,36%"
"09.12.2025","142,81","142,81","142,81","142,64","0,02%"
"08.12.2025","142,78","142,78","142,78","142,48","5,51%"
"05.12.2025","135,33","135,33","144,13","135,33","-0,62%"
"04.12.2025","136,17","136,17","136,17","136,17","-0,71%"
"03.12.2025","137,15","137,15","137,15","134,83","-2,25%"
"02.12.2025","140,30","140,30","140,30","139,30","-1,06%"
"01.12.2025","141,80","141,80","141,80","140,98","0,70%"
"28.11.2025","140,81","140,81","141,14","140,81","-0,12%"
"27.11.2025","140,97","140,97","140,97","140,97","-0,69%"
"26.11.2025","141,96","141,96","141,96","141,14","-1,72%"
"25.11.2025","144,45","144,45","144,45","143,28","-1,01%"
"24.11.2025","145,92","145,92","145,92","143,95","0,09%"
"21.11.2025","145,79","145,79","146,41","145,79","3,07%"
"20.11.2025","141,45","141,45","145,44","141,45","-1,95%"
"19.11.2025","144,27","144,27","144,27","143,45","-0,25%"
"18.11.2025","144,63","144,63","145,09","144,63","2,37%"
"17.11.2025","141,28","141,28","142,96","141,28","-0,71%"
"14.11.2025","142,29","142,29","142,29","141,62","1,42%"
"13.11.2025","140,30","140,30","141,63","140,30","0,24%"
"12.11.2025","139,96","139,96","141,13","139,96","-0,58%"
"11.11.2025","140,78","140,78","140,78","140,45","-1,59%"
"10.11.2025","143,05","143,05","143,05","140,64","-2,08%"
"07.11.2025","146,09","146,09","146,09","146,05","2,00%"
"06.11.2025","143,23","143,23","144,24","143,23","2,10%"
"05.11.2025","140,28","140,28","140,56","140,28","-0,37%"
