,Dólar (PTAX),Selic Diária (%),Selic Anual (%),IPCA Anual (%),BVSP
2000-01-01,1.8003,0.069186,0.1903988694237484,0.0885,16930.0
2000-01-02,1.8003,0.069186,0.1903988694237484,0.0885,16930.0
2000-01-03,1.8003,0.069186,0.1903988694237484,0.0885,16930.0
2000-01-04,1.8329,0.069186,0.1903988694237484,0.0885,15851.0
2000-01-05,1.8536,0.06922,0.19050079662867558,0.0885,16245.0
2000-01-06,1.8453,0.069286,0.19069868013643765,0.0885,16107.0
2000-01-07,1.8273,0.069286,0.19069868013643765,0.0885,16309.0
2000-01-08,1.8273,0.069286,0.19069868013643765,0.0885,17022.0
2000-01-09,1.8273,0.069286,0.19069868013643765,0.0885,17022.0
2000-01-10,1.8153,0.06912,0.1902010355441075,0.0885,17022.0
2000-01-11,1.8211,0.068986,0.18979947355261162,0.0885,16573.0
2000-01-12,1.8306,0.068819,0.1892992083105911,0.0885,16617.0
2000-01-13,1.8185,0.068786,0.1892003782953604,0.0885,17298.0
2000-01-14,1.7989,0.068719,0.18899974857909396,0.0885,17658.0
2000-01-15,1.7989,0.068719,0.18899974857909396,0.0885,18053.0
2000-01-16,1.7989,0.068719,0.18899974857909396,0.0885,18053.0
2000-01-17,1.7949,0.068752,0.18909856198689834,0.0885,18053.0
2000-01-18,1.7916,0.068686,0.18890094335004504,0.0885,17903.0
2000-01-19,1.7976,0.068619,0.18870036395088685,0.0885,17470.0
2000-01-20,1.7793,0.068619,0.18870036395088685,0.0885,17177.0
2000-01-21,1.7776,0.068619,0.18870036395088685,0.0885,17034.0
2000-01-22,1.7776,0.068619,0.18870036395088685,0.0885,16972.0
2000-01-23,1.7776,0.068619,0.18870036395088685,0.0885,16972.0
2000-01-24,1.7644,0.068619,0.18870036395088685,0.0885,16972.0
2000-01-25,1.7733,0.068619,0.18870036395088685,0.0885,17105.0
2000-01-26,1.7761,0.068619,0.18870036395088685,0.0885,17105.0
2000-01-27,1.7745,0.068619,0.18870036395088685,0.0885,17081.0
2000-01-28,1.7867,0.068652,0.1887991525766579,0.0885,16734.0
2000-01-29,1.7867,0.068652,0.1887991525766579,0.0885,16388.0
2000-01-30,1.7867,0.068652,0.1887991525766579,0.0885,16388.0
2000-01-31,1.8016,0.068719,0.18899974857909396,0.0885,16388.0
2000-02-01,1.7924,0.068619,0.18870036395088685,0.0786,16522.0
2000-02-02,1.7892,0.068585,0.188598590282542,0.0786,16868.0
2000-02-03,1.7771,0.068619,0.18870036395088685,0.0786,17457.0
2000-02-04,1.7777,0.068652,0.1887991525766579,0.0786,17932.0
2000-02-05,1.7777,0.068652,0.1887991525766579,0.0786,18126.0
2000-02-06,1.7777,0.068652,0.1887991525766579,0.0786,18126.0
2000-02-07,1.7651,0.068619,0.18870036395088685,0.0786,18126.0
2000-02-08,1.7646,0.068619,0.18870036395088685,0.0786,18686.0
2000-02-09,1.7624,0.068619,0.18870036395088685,0.0786,18361.0
2000-02-10,1.7687,0.068619,0.18870036395088685,0.0786,18604.0
2000-02-11,1.7639,0.068585,0.188598590282542,0.0786,18083.0
2000-02-12,1.7639,0.068585,0.188598590282542,0.0786,17819.0
2000-02-13,1.7639,0.068585,0.188598590282542,0.0786,17819.0
2000-02-14,1.7691,0.068619,0.18870036395088685,0.0786,17819.0
2000-02-15,1.7756,0.068619,0.18870036395088685,0.0786,17921.0
2000-02-16,1.7724,0.068619,0.18870036395088685,0.0786,18112.0
2000-02-17,1.7732,0.068619,0.18870036395088685,0.0786,17979.0
2000-02-18,1.7697,0.068619,0.18870036395088685,0.0786,17625.0
2000-02-19,1.7697,0.068619,0.18870036395088685,0.0786,17700.0
2000-02-20,1.7697,0.068619,0.18870036395088685,0.0786,17700.0
2000-02-21,1.7776,0.068619,0.18870036395088685,0.0786,17700.0
2000-02-22,1.7817,0.068619,0.18870036395088685,0.0786,17489.0
2000-02-23,1.7878,0.068619,0.18870036395088685,0.0786,17833.0
2000-02-24,1.7771,0.068619,0.18870036395088685,0.0786,17776.0
2000-02-25,1.7733,0.068619,0.18870036395088685,0.0786,17787.0
2000-02-26,1.7733,0.068619,0.18870036395088685,0.0786,17543.0
2000-02-27,1.7733,0.068619,0.18870036395088685,0.0786,17543.0
2000-02-28,1.778,0.068619,0.18870036395088685,0.0786,17543.0
